what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1368611519032
started,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1368611519044
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1368611519044
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1368611519060
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1368611519062
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1368611519065
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1368611519065
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1368611519070
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1368611519074
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1368611519077
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1368611519086
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1368611519100
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1368611519102
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1368611519117
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1368611519130
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1368611519134
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1368611519142
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1368611519149
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1368611519161
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1368611519173
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1368611519174
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1368611519183
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1368611519189
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1368611519202
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1368611519202
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1368611519211
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1368611519215
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1368611519224
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1368611519226
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1368611519227
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1368611519229
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1368611519237
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1368611519249
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1368611519249
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1368611519261
started,bundle,org.codehaus.groovy.eclipse.dsl,2.7.1.xx-20120921-2000-e37RELEASE,"org.codehaus.groovy.eclipse.dsl",1368611519268
started,bundle,org.eclipse.jdt.core,3.7.3.xx-20120921-2000-e37RELEASE,"org.eclipse.jdt.core",1368611519275
started,bundle,org.eclipse.jdt.groovy.core,2.7.1.xx-20120921-2000-e37RELEASE,"org.eclipse.jdt.groovy.core",1368611519281
os,sysinfo,,,"win32",1368611519284
arch,sysinfo,,,"x86",1368611519284
ws,sysinfo,,,"win32",1368611519284
locale,sysinfo,,,"en_US",1368611519284
processors,sysinfo,,,"4",1368611519284
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1368611519285
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1368611519285
java.specification.name,sysinfo,,,"Java Platform API Specification",1368611519285
java.specification.vendor,sysinfo,,,"Oracle Corporation",1368611519285
java.specification.version,sysinfo,,,"1.7",1368611519285
java.vendor,sysinfo,,,"Oracle Corporation",1368611519285
java.version,sysinfo,,,"1.7.0_02",1368611519285
java.vm.info,sysinfo,,,"mixed mode",1368611519285
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1368611519285
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1368611519285
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1368611519285
java.vm.specification.version,sysinfo,,,"1.7",1368611519285
java.vm.vendor,sysinfo,,,"Oracle Corporation",1368611519285
java.vm.version,sysinfo,,,"22.0-b10",1368611519285
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1368611519296
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1368611521137
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1368611521158
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1368611521188
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1368611529045
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1368611529069
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368611531067
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368611541939
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368611552998
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1368611564782
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368611595526
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1368611595546
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368611601560
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1368611601877
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1368611601881
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1368611602102
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1368611602487
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1368611602611
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1368611602976
